Category,Complaint,Age,Level,Gender,Frequency of Complaint,Resolution of Complaint,Impact
Academic,"I have a lot of commitments outside of school, including family responsibilities, and it's been a challenge to balance everything.",20,200,Male,First time,Yes,Only me
Academic,I'm struggling with time management and finding it hard to prioritize my coursework. I'm looking for resources to help me improve my skills.,20,200,Female,First time,Yes,Only me
Academic,The course material for my history class is very dense and difficult to understand. I'm hoping to find a tutor or study group to help me navigate it.,19,200,Female,First time,No,Only me
Academic,I've been working a lot lately and it's been hard to find time to focus on schoolwork. I'm trying to find ways to better manage my time.,17,300,Female,First time,No,My class/group
Academic,The amount of reading and writing assignments in my English class is overwhelming. I'm finding it hard to keep up with the workload.,18,200,Female,2-3  times,Yes,Only me
Academic,I'm feeling a lot of stress and anxiety about upcoming exams. I'm trying to develop better study habits to help me manage my stress.,20,300,Female,First time,Yes,Only me
Academic,I'm having trouble balancing my extracurricular activities with my coursework. I'm considering cutting back on some activities to focus more on school.,19,200,Male,First time,Yes,Only me
Academic,I'm feeling burnt out and exhausted from the demands of my coursework. I'm trying to find ways to recharge and take care of my mental health.,19,300,Female,First time,No,Entire department
Academic,I have a lot of personal commitments that are making it difficult to prioritize my schoolwork. I'm looking for strategies to help me better manage my time.,19,200,Male,First time,Yes,Only me
Academic,The course material for my physics class is very challenging and I'm struggling to keep up. I'm considering seeking additional help from a tutor.,17,300,Male,Ongoing Issue,Yes,Only me
Academic,I'm feeling overwhelmed with the amount of reading and assignments in my sociology class. I'm trying to break things down into smaller tasks to make it more manageable.,18,200,Female,Ongoing Issue,No,Only me
Academic,I'm having trouble sleeping at night and it's causing me to feel tired and unfocused during the day. I'm looking for ways to improve my sleep habits.,18,200,Female,First time,No,Only me
Academic,The pressure to maintain good grades is causing me a lot of stress and anxiety. I'm trying to find a healthy balance between school and self-care.,18,200,Female,First time,Yes,Only me
Academic,I'm struggling with mental health issues that are making it hard to focus on school. I'm working with a therapist to develop coping strategies.,18,300,Female,First time,Yes,Only me
Academic,I have a part-time job that's making it hard to balance my schoolwork. I'm trying to negotiate a better schedule with my employer.,17,200,Female,First time,Yes,Only me
Academic,"I'm finding it hard to stay motivated with my coursework. I'm trying to set smaller, achievable goals to help me stay on track.",20,300,Male,2-3  times,No,My class/group
Academic,Exam results not released on time,20,200,Female,First time,Yes,Only me
Academic,Missing exam scores despite attendance,20,300,Male,First time,Yes,Only me
Academic,Incorrect grading on transcript,18,200,Male,First time,No,Only me
Academic,Denial of access to exams despite eligibility,19,300,Female,First time,No,Entire department
Academic,Final-year project submission issues due to system failure,20,200,Female,Ongoing Issue,Yes,Only me
Academic,Wrong course registration affecting graduation eligibility,18,200,Female,Ongoing Issue,Yes,Only me
Academic,Inaccurate course prerequisites blocking registration,17,200,Female,First time,Yes,Only me
Academic,Loss of academic records from the university portal,18,300,Female,First time,No,Only me
Academic,Suspension due to system errors in attendance records,18,200,Male,First time,Yes,Only me
Academic,Forced withdrawal due to an administrative mix-up,18,300,Female,First time,Yes,Only me
Academic,Course instructor failing to show up for scheduled classes,19,200,Male,2-3  times,No,Only me
Academic,Academic misconduct accusation without evidence,19,300,Male,First time,No,My class/group
Academic,Expulsion notice due to an error in disciplinary records,20,200,Female,First time,Yes,Only me
Academic,Unexplained removal from graduation list,19,300,Female,First time,Yes,Only me
Academic,Delay in thesis defense scheduling,18,200,Female,First time,Yes,Only me
Academic,Thesis supervisor unresponsive for extended periods,20,200,Female,Ongoing Issue,No,Entire department
Academic,Course registration portal crashing before deadline,19,200,Female,Ongoing Issue,Yes,Only me
Academic,Academic adviser providing misleading information,20,300,Male,First time,Yes,Only me
Academic,Double charging for tuition or course registration,17,200,Female,First time,No,Only me
Academic,Denied access to required materials in the university library,17,300,Male,First time,No,Only me
Academic,Incorrect degree classification on transcript,17,200,Male,First time,Yes,Only me
Academic,Exam scripts missing and not graded,18,300,Female,2-3  times,Yes,Only me
Academic,Discrepancy in GPA calculations,20,200,Female,First time,Yes,Only me
Academic,Lecturer refusing to mark assignments or exams,20,300,Female,First time,No,My class/group
Academic,Unfair academic probation placement,20,200,Female,First time,Yes,Only me
Academic,Incorrect or delayed processing of academic appeals,18,200,Female,First time,Yes,Only me
Academic,Non-issuance of graduation certificate despite clearing requirements,17,200,Male,Ongoing Issue,No,Only me
Academic,Exam date clash with another course,17,300,Female,Ongoing Issue,No,Entire department
Academic,Loss of scholarship due to administrative error,19,200,Male,First time,Yes,Only me
Academic,Unjustified withholding of exam results,20,300,Male,First time,Yes,Only me
Academic,Delay in lecturer uploading course materials,18,200,Female,First time,Yes,Only me
Academic,Lecturer failing to provide feedback on assignments,20,300,Female,First time,No,Only me
Academic,Missing attendance despite being present in class,19,200,Female,2-3  times,Yes,Only me
Academic,Lab equipment failure during practical exams,19,300,Female,First time,Yes,Only me
Academic,Lecturer skipping key topics in syllabus,18,200,Female,First time,No,Only me
Academic,Delays in academic transcript processing,19,200,Male,First time,No,My class/group
Academic,Lecturer frequently rescheduling classes,20,200,Female,First time,Yes,Only me
Academic,Miscommunication regarding assignment deadlines,19,300,Male,Ongoing Issue,Yes,Only me
Academic,Library books required for research missing or outdated,19,200,Male,Ongoing Issue,Yes,Only me
Academic,Errors in course schedule leading to conflicts,18,300,Female,First time,No,Entire department
Academic,Inadequate seating in lecture halls,19,200,Female,First time,Yes,Only me
Academic,Poorly organized internship placements,17,300,Female,First time,Yes,Only me
Academic,Long wait times for academic counseling appointments,17,200,Female,First time,No,Only me
Academic,Lack of Wi-Fi in key study areas,17,300,Female,2-3  times,No,Only me
Academic,University website down during registration periods,19,200,Male,First time,Yes,Only me
Academic,Inconsistent grading rubrics in the same course,19,200,Female,First time,Yes,Only me
Academic,Difficulty in changing an assigned supervisor,18,200,Male,First time,Yes,Only me
Academic,Poor response time from department office regarding inquiries,20,300,Male,First time,No,My class/group
Academic,Lecturer consistently late to class,17,200,Female,Ongoing Issue,Yes,Only me
Academic,Lack of feedback from academic board on student appeals,20,300,Female,Ongoing Issue,Yes,Only me
Academic,Unclear instructions for research paper submissions,17,200,Female,First time,No,Only me
Academic,Outdated course content not reflecting industry standards,17,300,Female,First time,No,Entire department
Academic,Limited spots for elective courses,19,200,Female,First time,Yes,Only me
Academic,Lecturer playing favoritism in grading,19,300,Male,First time,Yes,Only me
Academic,Delays in approval of research proposals,19,200,Female,2-3  times,Yes,Only me
Academic,Harsh grading with no clear justification,20,200,Male,First time,No,Only me
Academic,Compulsory university fees not clearly explained,19,200,Male,First time,Yes,Only me
Academic,Poor ventilation in classrooms,20,300,Female,First time,Yes,Only me
Academic,Lack of support for international students facing academic issues,17,200,Female,First time,No,Only me
Academic,Unavailability of required textbooks in the university bookstore,18,300,Female,Ongoing Issue,No,My class/group
Academic,Insufficient access to computers for coursework,20,200,Female,Ongoing Issue,Yes,Only me
Academic,Unreasonably short deadlines for major assignments,20,300,Female,First time,Yes,Only me
Academic,Lack of clarity in academic policies,18,200,Male,First time,Yes,Only me
Academic,Inefficient complaint resolution process,18,300,Female,First time,No,Entire department
Academic,Lack of career guidance sessions for students,20,200,Male,First time,Yes,Only me
Academic,Insufficient office hours for lecturers,18,200,Male,2-3  times,Yes,Only me
Academic,Errors in posted course content on the university portal,19,200,Female,First time,No,Only me
Academic,Inadequate teaching staff for high-enrollment courses,20,300,Female,First time,No,Only me
Academic,Lack of industry certifications integrated into academic programs,20,200,Female,First time,Yes,Only me
Academic,Delayed response from thesis committee on research progress,18,300,Female,First time,Yes,Only me
Academic,Low Urgency (Minor Issues – Can Be Resolved Over Time),19,200,Female,Ongoing Issue,Yes,Only me
Academic,Limited study space in the library,19,300,Male,Ongoing Issue,No,My class/group
Academic,Too much group work in coursework,18,200,Female,First time,Yes,Only me
Academic,Noisy environment affecting study sessions,17,300,Male,First time,Yes,Only me
Academic,Online classes poorly managed,19,200,Male,First time,No,Only me
Academic,Lack of practical case studies in lectures,19,200,Female,First time,No,Entire department
Academic,Uninteresting course delivery by some lecturers,20,200,Female,2-3  times,Yes,Only me
Academic,Difficulty in accessing academic journals,20,300,Female,First time,Yes,Only me
Academic,Limited printing stations on campus,17,200,Female,First time,Yes,Only me
Academic,Rigid class schedules with no flexibility,18,300,Female,First time,No,Only me
Academic,University portal hard to navigate,20,200,Male,First time,Yes,Only me
Academic,Exam timetable released too late,18,300,Female,Ongoing Issue,Yes,Only me
Academic,Slow updates on course announcements,20,200,Male,Ongoing Issue,No,Only me
Academic,Frequent power outages during online exams,20,300,Male,First time,No,My class/group
Academic,Lack of collaboration opportunities with industry experts,18,200,Female,First time,Yes,Only me
Academic,Few academic exchange programs,20,200,Female,First time,Yes,Only me
Academic,Difficulty finding research funding,19,200,Female,First time,Yes,Only me
Academic,Outdated software in university computer labs,20,300,Female,2-3  times,No,Entire department
Academic,Unavailability of soft copies of lecture notes,17,200,Female,First time,Yes,Only me
Academic,Inconsistent enforcement of plagiarism policies,17,300,Male,First time,Yes,Only me
Academic,Overloaded academic calendar with too many assessments,19,200,Female,First time,No,Only me
Academic,Delayed recognition of student achievements,18,300,Male,First time,No,Only me
Academic,Lack of interdisciplinary courses,18,200,Male,Ongoing Issue,Yes,Only me
Academic,Limited networking opportunities for students,19,300,Female,Ongoing Issue,Yes,Only me
Academic,Faculty members using outdated teaching methods,18,200,Female,First time,Yes,Only me
Academic,Minimal guest lectures from professionals,17,200,Female,First time,No,My class/group
Academic,Slow updates to academic policy documents,20,200,Female,First time,Yes,Only me
Academic,Lack of transparency in faculty recruitment,19,300,Female,First time,Yes,Only me
Academic,Unclear grading scales across courses,20,200,Male,2-3  times,No,Only me
Academic,Limited choice of elective courses,18,300,Female,First time,No,Entire department
Academic,Lack of hands-on learning experiences,18,200,Male,First time,Yes,Only me
Academic,Academic credentials wrongly printed on certificates,17,300,Male,First time,Yes,Only me
Academic,Delays in visa processing for international students affecting studies,19,200,Female,First time,Yes,Only me
Academic,Mismatch between exam questions and syllabus,18,300,Female,Ongoing Issue,No,Only me
Academic,Non-recognition of transfer credits,17,200,Female,Ongoing Issue,Yes,Only me
Academic,Course wrongly marked as failed in transcript,18,200,Female,First time,Yes,Only me
Academic,Lecturer refusing to release exam scripts for review,17,200,Female,First time,No,Only me
Academic,Course dropped from university curriculum without notice,20,300,Male,First time,No,My class/group
Academic,Blocked access to university portal despite fee payments,20,200,Female,First time,Yes,Only me
Academic,Wrong specialization track assigned to a student,18,300,Male,2-3  times,Yes,Only me
Academic,Last-minute cancellation of crucial courses,19,200,Male,First time,Yes,Only me
Academic,Mistakenly withdrawn from university due to financial errors,19,300,Female,First time,No,Entire department
Academic,Denial of access to university-hosted research conferences,19,200,Female,First time,Yes,Only me
Academic,Delay in course exemption approvals,17,300,Female,First time,Yes,Only me
Academic,Supervisor rejecting project topics without valid reasons,20,200,Female,Ongoing Issue,No,Only me
Academic,Non-inclusion of coursework marks in final grades,20,200,Female,Ongoing Issue,No,Only me
Academic,Missing graduation gown despite payment,17,200,Male,First time,Yes,Only me
Academic,Denied access to academic records due to bureaucratic delays,18,300,Female,First time,Yes,Only me
Academic,Lecturer harassing students for better grades,19,200,Male,First time,Yes,Only me
Academic,Administrative mix-up in major/minor declarations,17,300,Male,First time,No,My class/group
Academic,System failure causing exam submission errors,17,200,Female,2-3  times,Yes,Only me
Academic,Other Issues Affecting Academic Performance (Medium to Low Urgency Continued),18,300,Female,First time,Yes,Only me
Academic,Internet downtime during online class tests,19,200,Female,First time,No,Only me
Academic,Broken chairs and desks in lecture halls,19,300,Female,First time,No,Entire department
Academic,Poor lighting in classrooms affecting visibility,20,200,Female,First time,Yes,Only me
Academic,Difficulty securing accommodations for academic conferences,19,200,Male,Ongoing Issue,Yes,Only me
Academic,University bookstore failing to stock required textbooks,18,200,Female,Ongoing Issue,Yes,Only me
Academic,Misallocation of class venues,19,300,Male,First time,No,Only me
Academic,Inability to access recorded lectures,17,200,Male,First time,Yes,Only me
Academic,Excessively large class sizes,19,300,Female,First time,Yes,Only me
Academic,Library staff unhelpful when searching for materials,18,200,Female,First time,No,Only me
Academic,Too many administrative forms required for minor academic changes,18,300,Female,2-3  times,No,My class/group
Academic,Lack of proper orientation for new students on academic policies,19,200,Female,First time,Yes,Only me
Academic,Limited peer mentoring programs for difficult courses,20,300,Female,First time,Yes,Only me
Academic,Too many restrictions on course withdrawals,17,200,Male,First time,Yes,Only me
Academic,Difficulty in changing elective courses after registration,20,200,Female,First time,No,Entire department
Academic,Non-functional air conditioning in computer labs,18,200,Male,Ongoing Issue,Yes,Only me
Academic,Unreliable course evaluation system,17,300,Male,Ongoing Issue,Yes,Only me
Academic,Lack of open-door policies for department heads,17,200,Female,First time,No,Only me
Academic,Unfair policies against part-time students,17,300,Female,First time,No,Only me
Academic,Limited access to software licenses for coursework,17,200,Female,First time,Yes,Only me
Academic,High costs of academic trips and fieldwork,18,300,Female,First time,Yes,Only me
Academic,Wrong student name appearing on official academic records,19,200,Female,2-3  times,Yes,Only me
Academic,Misplacement of students' academic files by the administration,17,300,Male,First time,No,My class/group
Academic,Delay in processing course add/drop requests affecting class attendance,19,200,Female,First time,Yes,Only me
Academic,Missing or incorrect financial aid/scholarship allocations,20,200,Male,First time,Yes,Only me
Academic,University system marking a student as “not enrolled” despite proper registration,18,200,Male,First time,No,Only me
Academic,Sudden removal from a required course due to system error,18,300,Female,Ongoing Issue,No,Entire department
Academic,Administrative mix-up leading to double course registration fees,20,200,Female,Ongoing Issue,Yes,Only me
Academic,Issues with final-year clearance preventing graduation,20,300,Female,First time,Yes,Only me
Academic,Online exam submission failure with no way to resubmit,18,200,Female,First time,Yes,Only me
Academic,Lecturer absent during scheduled exams without prior notice,17,300,Female,First time,No,Only me
Academic,Inaccessibility of the thesis submission portal before the deadline,19,200,Male,First time,Yes,Only me
Academic,Academic dismissal without prior warnings or probationary period,18,300,Female,2-3  times,Yes,Only me
Academic,Lack of accommodation for students with disabilities in exams,18,200,Male,First time,No,Only me
Academic,Compulsory courses being removed or changed without informing students,20,200,Male,First time,No,My class/group
Academic,Unexpected change in curriculum affecting graduation timeline,20,200,Female,First time,Yes,Only me
Academic,Examination malpractice accusation without due investigation,19,300,Female,First time,Yes,Only me
Academic,Falsely being placed on academic suspension,18,200,Female,Ongoing Issue,Yes,Only me
Academic,Supervisor refusing to approve a research project without valid reasons,19,300,Female,Ongoing Issue,No,Entire department
Academic,No clear guidance on how to appeal academic penalties,18,200,Female,First time,Yes,Only me
Academic,Unfair allocation of marks for group projects,18,300,Male,First time,Yes,Only me
Academic,Delay in approving ethical clearance for research studies,20,200,Female,First time,No,Only me
Academic,Wrong date of birth or personal details on academic records,19,300,Male,First time,No,Only me
Academic,Rejected course substitution requests without clear justification,19,200,Male,2-3  times,Yes,Only me
Academic,Research supervisor neglecting students without appointing a replacement,19,200,Female,First time,Yes,Only me
Academic,Examination hall seating errors leading to disciplinary action,20,200,Female,First time,Yes,Only me
Academic,"Double scheduling of courses, making it impossible to attend both",19,300,Female,First time,No,My class/group
Academic,Results being withheld due to non-existent disciplinary cases,20,200,Female,First time,Yes,Only me
Academic,Academic calendar changes disrupting students’ research plans,19,300,Female,Ongoing Issue,Yes,Only me
Academic,Students forced to retake a course due to university administrative error,19,200,Male,Ongoing Issue,No,Only me
Academic,Transcript showing repeated courses that were actually passed,19,300,Female,First time,No,Entire department
Academic,Examination questions containing mistakes or unclear instructions,17,200,Male,First time,Yes,Only me
Academic,Lecturer refusing to address student complaints about unfair grading,19,300,Male,First time,Yes,Only me
Academic,Final-year project completely rejected without reasonable explanation,19,200,Female,First time,Yes,Only me
Academic,University rejecting internship reports without valid reasons,17,200,Female,2-3  times,No,Only me
Academic,Failure to notify students about cancelled or postponed exams,17,200,Female,First time,Yes,Only me
Academic,Lack of fair consideration for students facing mental health crises,19,300,Female,First time,Yes,Only me
Academic,University declining to send required academic records to employers or other institutions,17,200,Female,First time,No,Only me
Academic,Missing deadlines for processing international students’ study permits,19,300,Male,First time,No,My class/group
Academic,Major delays in the release of examination scripts for remarking requests,20,200,Female,Ongoing Issue,Yes,Only me
Academic,"University portal marking courses as ""failed"" when they were passed",19,300,Male,Ongoing Issue,Yes,Only me
Academic,No clear deadline for appeals on exam results,18,200,Male,First time,Yes,Only me
Academic,Difficulty in switching from one department to another,20,300,Female,First time,No,Entire department
Academic,Professor failing to return graded assignments on time,18,200,Female,First time,Yes,Only me
Academic,No access to research databases despite paying library fees,19,200,Female,First time,Yes,Only me
Academic,Poor coordination of internship placements for students,19,200,Female,2-3  times,No,Only me
Academic,Lecturer frequently missing consultation hours,20,300,Female,First time,No,Only me
Academic,Lack of consistency in how different lecturers grade the same course,18,200,Male,First time,Yes,Only me
Academic,No procedure for challenging unfair disciplinary actions,18,300,Female,First time,Yes,Only me
Academic,Delayed release of lecture timetables,19,200,Male,First time,Yes,Only me
Academic,Academic advisers failing to respond to student concerns,17,300,Male,Ongoing Issue,No,My class/group
Academic,Long processing times for obtaining letters of recommendation,20,200,Female,Ongoing Issue,Yes,Only me
Academic,Insufficient guidance for students switching to new specializations,20,300,Female,First time,Yes,Only me
Academic,Difficulty securing approval for research projects involving human subjects,19,200,Female,First time,No,Only me
Academic,Poor communication regarding changes in academic policies,19,200,Female,First time,No,Entire department
Academic,Unavailable sign language interpreters for hearing-impaired students,19,200,Female,First time,Yes,Only me
Academic,Lack of online course material updates for remote learners,19,300,Male,2-3  times,Yes,Only me
Academic,Confusing policies on deferring courses or exams,20,200,Female,First time,Yes,Only me
Academic,Non-recognition of prior learning for credit transfer,17,300,Male,First time,No,Only me
Academic,Research projects delayed due to lack of funding from the university,20,200,Male,First time,Yes,Only me
Academic,University blocking students from using academic services due to minor fee discrepancies,20,300,Female,First time,Yes,Only me
Academic,Course lecturers failing to provide proper references or citations in study materials,18,200,Female,Ongoing Issue,No,Only me
Academic,Difficulty in obtaining official academic letters for job applications,17,300,Female,Ongoing Issue,No,My class/group
Academic,Poor enforcement of plagiarism detection policies,17,200,Female,First time,Yes,Only me
Academic,Limited opportunities for students to contribute to university research projects,19,200,Female,First time,Yes,Only me
Academic,Overcrowded laboratories making practicals ineffective,20,200,Male,First time,Yes,Only me
Academic,Complaints about sexual harassment by lecturers not being taken seriously,20,300,Female,First time,No,Entire department
Academic,Inconsistent attendance recording system,17,200,Male,2-3  times,Yes,Only me
Academic,Lecturer frequently cancelling practical sessions without notice,17,300,Male,First time,Yes,Only me
Academic,Outdated and irrelevant course content,20,200,Female,First time,No,Only me
Academic,"Exam schedule too close together, causing fatigue",18,300,Female,First time,No,Only me
Academic,Restrictive academic dress code policies,19,200,Female,First time,Yes,Only me
Academic,Poorly managed grading curves leading to unfair results,18,300,Female,Ongoing Issue,Yes,Only me
Academic,Non-responsive IT support for academic platforms,18,200,Female,Ongoing Issue,Yes,Only me
Academic,"Lack of access to advanced software for engineering, design, or data analysis courses",18,200,Male,First time,No,My class/group
Academic,Language barriers in courses taught by foreign lecturers,20,200,Female,First time,Yes,Only me
Academic,Insufficient academic workshops or career development programs,19,300,Male,First time,Yes,Only me
Academic,Delay in confirming graduation list approvals,17,200,Male,First time,No,Only me
Academic,Lack of provisions for students with visual impairments,18,300,Female,2-3  times,No,Entire department
Academic,Hard-to-access faculty deans for academic concerns,18,200,Female,First time,Yes,Only me
Academic,No support for students struggling with coursework due to personal difficulties,17,300,Female,First time,Yes,Only me
Academic,Low Urgency (Minor Issues – Can Be Resolved Over Time),20,200,Female,First time,Yes,Only me
Academic,Inconsistent feedback from multiple lecturers in team-taught courses,20,300,Female,First time,No,Only me
Academic,Lecture hall projectors frequently malfunctioning,20,200,Male,Ongoing Issue,Yes,Only me
Academic,"Academic policies only available in hard copy, not online",18,200,Female,Ongoing Issue,Yes,Only me
Academic,Outdated websites for faculty pages,18,200,Male,First time,No,Only me
Academic,Poor university email system for academic communication,20,300,Male,First time,No,My class/group
Academic,Lack of extracurricular academic competitions,18,200,Female,First time,Yes,Only me
Academic,Lack of mentorship programs for struggling students,18,300,Female,First time,Yes,Only me
Academic,Course descriptions on the university website being too vague,20,200,Female,2-3  times,Yes,Only me
Academic,"Exam results posted on campus notice boards, compromising privacy",17,300,Female,First time,No,Entire department
Academic,University not recognizing student-run academic initiatives,18,200,Female,First time,Yes,Only me
Academic,Few research collaboration opportunities with other universities,18,300,Male,First time,Yes,Only me
Academic,Limited availability of past exam papers for study,20,200,Female,First time,No,Only me
Academic,Lack of access to global academic conferences,20,200,Male,Ongoing Issue,No,Only me
Academic,Poorly structured grading policies in elective courses,18,200,Male,Ongoing Issue,Yes,Only me
Academic,Research grants only available to postgraduate students,19,300,Female,First time,Yes,Only me
Academic,Unclear policies on independent study courses,20,200,Female,First time,Yes,Only me
Academic,No provisions for part-time students in academic policies,18,300,Female,First time,No,My class/group
Academic,Poor organization of university-hosted career fairs,20,200,Female,First time,Yes,Only me
Academic,Lecturers failing to record attendance correctly,17,300,Female,2-3  times,Yes,Only me
Academic,Difficulty in accessing specialized training for certain industries,20,200,Male,First time,No,Only me
Academic,"Course prerequisites not properly enforced, causing student confusion",18,300,Female,First time,No,Entire department
Academic,Inadequate guidelines for thesis writing formatting,19,200,Male,First time,Yes,Only me
Academic,Few digital resources for language courses,18,200,Male,First time,Yes,Only me
Academic,Limited hands-on learning opportunities for arts and design students,17,200,Female,Ongoing Issue,Yes,Only me
Academic,No university-hosted hackathons for tech students,19,300,Female,Ongoing Issue,No,Only me
Academic,Weak implementation of peer-tutoring programs,20,200,Female,First time,Yes,Only me
Academic,Too many PowerPoint-heavy lectures with no engagement,17,300,Female,First time,Yes,Only me
Academic,Delays in setting up student mentorship programs,19,200,Female,First time,No,Only me
Academic,No centralized platform for students to track academic progress,18,300,Male,First time,No,My class/group
Academic,Poor availability of financial aid workshops,18,200,Female,2-3  times,Yes,Only me
Academic,Student name completely missing from the graduation list,19,300,Male,First time,Yes,Only me
Academic,Unfair academic suspension due to errors in academic records,19,200,Male,First time,Yes,Only me
Academic,Expulsion from a program without proper investigation,18,200,Female,First time,No,Entire department
Academic,Wrong degree classification on official records,18,200,Female,First time,Yes,Only me
Academic,University rejecting a course exemption request without justification,19,300,Female,Ongoing Issue,Yes,Only me
Academic,No notification of an exam postponement leading to a missed paper,18,200,Female,Ongoing Issue,No,Only me
Academic,Non-functional university portal blocking exam registration,20,300,Female,First time,No,Only me
Academic,Scholarship funds not disbursed despite eligibility,18,200,Male,First time,Yes,Only me
Academic,Unapproved changes to thesis topic blocking graduation,19,300,Female,First time,Yes,Only me
Academic,Security breach exposing confidential student academic records,18,200,Male,First time,Yes,Only me
Academic,Course removed from the program after a student has taken prerequisites,20,300,Male,2-3  times,No,My class/group
Academic,Lecturer deliberately failing a student due to personal bias,19,200,Female,First time,Yes,Only me
Academic,Academic appeals being rejected without review,17,200,Female,First time,Yes,Only me
Academic,Academic transcript issued with missing courses,20,200,Female,First time,No,Only me
Academic,Administrative error causing two students to have identical academic records,20,300,Female,First time,No,Entire department
Academic,Misplaced dissertation despite submission confirmation,18,200,Female,Ongoing Issue,Yes,Only me
Academic,Disability accommodations ignored for an important exam,20,300,Male,Ongoing Issue,Yes,Only me
Academic,Student ID showing incorrect academic program,17,200,Female,First time,Yes,Only me
Academic,No guidelines on how to challenge a falsely accused plagiarism case,20,300,Male,First time,No,Only me
Academic,Required internship course canceled at the last minute,20,200,Male,First time,Yes,Only me
Academic,Reassessment requests being ignored for months,18,300,Female,First time,Yes,Only me
Academic,System glitches automatically dropping students from enrolled courses,20,200,Female,2-3  times,No,Only me
Academic,Delay in official exam results preventing further studies,18,200,Female,First time,No,My class/group
Academic,System registering a student in the wrong academic level,20,200,Female,First time,Yes,Only me
Academic,Rejected graduation application due to misplaced documents,18,300,Female,First time,Yes,Only me
Academic,Student not assigned a supervisor for months,20,200,Male,First time,Yes,Only me
Academic,University failing to notify students of major policy changes,18,300,Female,Ongoing Issue,No,Entire department
Academic,Registration system crashing before the deadline,17,200,Male,Ongoing Issue,Yes,Only me
Academic,Incorrect allocation of credit hours leading to graduation delays,19,300,Male,First time,Yes,Only me
Academic,Enrollment records showing missing semesters,17,200,Female,First time,No,Only me
Academic,Unclear grading rubrics for assignments,17,300,Female,First time,No,Only me
Academic,Major timetable clashes for required courses,19,200,Female,First time,Yes,Only me
Academic,Lack of support for students struggling with heavy coursework,18,200,Female,2-3  times,Yes,Only me
Academic,Limited access to career counseling services,18,200,Female,First time,Yes,Only me
Academic,University rejecting foreign exchange program applications without explanation,18,300,Male,First time,No,My class/group
Academic,Final-year project assessment delayed due to unavailable panel members,17,200,Female,First time,Yes,Only me
Academic,Lack of response from academic advisors,17,300,Male,First time,Yes,Only me
Academic,Library materials being outdated and irrelevant to current courses,20,200,Male,Ongoing Issue,No,Only me
Academic,Research assistants being overworked without proper compensation,18,300,Female,Ongoing Issue,No,Entire department
Academic,Ineffective peer tutoring programs,17,200,Female,First time,Yes,Only me
Academic,Lecturer consistently not responding to emails or office visits,17,300,Female,First time,Yes,Only me
Academic,Group projects being graded unfairly due to uneven contributions,20,200,Female,First time,Yes,Only me
Academic,Student publications being blocked without proper review,20,200,Female,First time,No,Only me
Academic,No clear policies on handling academic misconduct investigations,19,200,Male,2-3  times,Yes,Only me
Academic,No opportunity for re-examinations in case of illness,17,300,Female,First time,Yes,Only me
Academic,Absence of student representation in academic policy-making,20,200,Male,First time,No,Only me
Academic,"Lecture halls being overcrowded, making it hard to focus",17,300,Male,First time,No,My class/group
Academic,Poorly maintained online discussion forums for academic interactions,18,200,Female,First time,Yes,Only me
Academic,No structured support for first-year students adjusting to university life,20,300,Female,Ongoing Issue,Yes,Only me
Academic,Online classes lacking engagement due to lack of interactive elements,17,200,Female,Ongoing Issue,Yes,Only me
Academic,No defined process for handling missing attendance records,18,300,Female,First time,No,Entire department
Academic,Academic staff refusing to accept feedback from students,17,200,Female,First time,Yes,Only me
Academic,Lack of availability of part-time courses for working students,19,200,Male,First time,Yes,Only me
Academic,Difficulties in accessing academic records from previous institutions,20,200,Female,First time,No,Only me
Academic,No proper recognition for academic achievements outside coursework,19,300,Male,2-3  times,No,Only me
Academic,Delays in clearing students who are transferring to another institution,17,200,Male,First time,Yes,Only me
Academic,Lack of transparency in how research grants are awarded,19,300,Female,First time,Yes,Only me
Academic,Failure to communicate changes in class venues in advance,20,200,Female,First time,Yes,Only me
Academic,Academic advisors assigned too many students to manage effectively,20,300,Female,First time,No,My class/group
Academic,Lack of affordable printing facilities for students submitting hardcopy reports,18,200,Female,Ongoing Issue,Yes,Only me
Academic,Low Urgency (Minor Issues – Can Be Resolved Over Time),20,300,Female,Ongoing Issue,Yes,Only me
Academic,Limited student discounts on academic software,19,200,Male,First time,No,Only me
Academic,No incentives for students participating in voluntary research projects,19,200,Female,First time,No,Entire department
Academic,Confusing course descriptions on university websites,17,200,Male,First time,Yes,Only me
Academic,Lack of academic writing workshops for students,19,300,Male,First time,Yes,Only me
Academic,Limited networking opportunities with industry professionals,19,200,Female,2-3  times,Yes,Only me
Academic,Inconvenient office hours for faculty consultations,19,300,Female,First time,No,Only me
Academic,Inconsistent information on university noticeboards and portals,20,200,Female,First time,Yes,Only me
Academic,Faculty websites not updated with course materials,17,300,Female,First time,Yes,Only me
Academic,Limited number of student-led academic conferences,20,200,Female,First time,No,Only me
Academic,No mentorship programs for postgraduate students,20,300,Male,Ongoing Issue,No,My class/group
Academic,Study spaces in the library always fully booked,17,200,Female,Ongoing Issue,Yes,Only me
Academic,University newsletter not including relevant academic updates,19,200,Male,First time,Yes,Only me
Academic,Lack of academic clubs related to niche fields of study,20,200,Male,First time,Yes,Only me
Academic,No digital tools provided for collaborative coursework,20,300,Female,First time,No,Entire department
Academic,University social media platforms not used for academic updates,17,200,Female,First time,Yes,Only me
Academic,No centralized system for tracking research progress,19,300,Female,2-3  times,Yes,Only me
